Classe2;Sample.ID;PC1;PC2;PC3;PC4;PC5
ARIA;1;1.511063750944037;2.391259053869103;0.07304965445815591;0.29207746855848743;-0.14265238247734588
ARIA;13;1.9478905676535512;4.372696211771475;-1.9497014096712895;-0.9585153901758586;0.21678209727004535
ARIA;24;1.854338214427143;3.4297775601018428;-0.9780874899477611;-0.25705956327391477;-0.07857573673164295
ARIA;25;1.8786482035465433;3.5567988461494107;-1.1026609953319686;-0.2626232803309133;-0.12191796133065756
ARIA;26;1.7100438334942398;3.437915440837721;-0.8134777047493014;-0.1305992902051659;-0.17534397240661598
ARIA;29;0.9154271163386078;0.6657681359465709;1.4077161979545088;0.05413062528931122;0.18750332116640842
ARIA;29;0.7258832113735723;0.6130796555153862;1.2471775444418522;0.045781839551795205;0.19501389254280224
ARIA;29;0.12873552152284065;0.576538903157092;1.2387030531803185;-0.11266891396269457;0.12787996771906254
ARIA;29;0.08020543693033795;0.5195775437065064;1.1425040809997904;-0.14843840430545127;-0.01289672259565458
ARIA;13;1.9871125284575748;4.531820961534237;-2.103876540745154;-0.9886939816872137;0.16688757734624035
ARIA;29;0.9330253392134028;0.5554603027886019;1.2465038126434844;0.018497476698705995;0.0838824318242779
ARIA;39;1.4553848322211163;2.188232517764024;0.08064438402552628;-0.005965391949546171;0.2821730500710863
ARIA;40;1.623547965524939;2.683472229021877;-0.37207017659821456;-0.24155191209353757;0.3122570641130699
ARIA;41;1.5959540784141542;2.117830902303146;0.1868854409776753;0.23291943289703784;0.06663164765282259
ARIA;42;1.5751032592819736;2.4745647340282084;-0.13251041345910028;0.11706045666482516;0.025412795897569604
ARIA;45;1.3878023782896216;1.1264482975616033;0.9793989692666284;0.2521441557030913;0.4698504782768862
ARIA;46;1.387102985499947;2.075677138281373;0.31543426193288276;0.38165656217016036;-0.053518539339350274
ARIA;50;2.0205326199724523;1.6145917046100087;0.9538671900418273;0.26810025536247095;-0.12356312629694666
ARIA;51;1.4656296311432837;1.7969283485139085;0.5409012096607946;0.6017061266293483;-0.5502769646289111
ARIA;29;0.30533662245853754;0.8293922155276133;1.3028710411942317;-0.01805161306005825;0.13922387530626304
ARIA;13;2.0175705621976268;4.748674497493719;-2.316304427007761;-1.103263826101943;0.22810065989237965
ARIA;27;1.4224566567564085;2.034711046188269;0.15606378152916664;0.052997224563464805;0.31373660946046944
ARIA;12;2.0032588574950503;4.38974978081994;-1.8694749658999663;-0.9719737722175521;0.1816300475420249
ARIA;12;2.2427959217673217;4.067037340384914;-0.9846221958331874;-0.8481972923019285;-0.08230919502161743
ARIA;12;1.6614336392051081;3.8242092341590928;-2.000306291202067;-0.5289265319437678;0.19018957396002684
BIOFILTRO;23;8.131627111585722;-2.01270443541317;0.31542353042789406;-0.7133268914070858;-0.09573075569389312
BIOFILTRO;23;9.201443442145365;-2.723656130779345;0.10620170247020495;-1.212507522229573;-0.36269943380539876
BIOFILTRO;23;9.86665054251174;-3.2717693777385906;-0.24838819555126138;-1.2807075416622988;-0.36317590214329176
BIOFILTRO;23;10.334960456905593;-3.8833863404197193;-1.2393177842798717;-1.0048781396381257;-0.5601935692698304
