Mode,N_baseline,Pct_baseline,PC1_explained,LOD_range,Event_pct
daily,354012,17.1094761536302,46.7847262433192,8.20792335431926,0.266202825481043
weekly,341820,16.5202341695588,44.1718343307506,7.97542735132613,3.66700675028116
monthly,318807,15.4080109264951,48.830031136639,8.38541858446913,6.47557221766576
global,243340,11.7606745738121,38.1069051030004,7.40769487413734,13.2746668960741
