Classe2;Sample.ID;LD1;LD2;LD3;LD4
ARIA;1;-0.26425410425208823;-2.491061221379402;-0.3039725981178375;-0.17449998119130838
ARIA;13;-0.3093036762245083;-2.613968755829339;-0.2549203373127199;-0.1348635784289021
ARIA;24;-0.17837137467809128;-2.5173969420519158;-0.27166203878355577;-0.16427550954578266
ARIA;25;-0.14616625375403225;-2.4580813660047216;-0.2603166595287632;-0.1967152292268275
ARIA;26;-0.3074638110859617;-2.5783464060629533;-0.25367983568611085;-0.11913392760440707
ARIA;29;-0.5822270764250659;-1.721027503485273;1.1758674034758718;-0.25882577138989415
ARIA;29;-0.5809405060013867;-1.526091302738045;0.8611400276859446;-0.21588045842243755
ARIA;29;-1.0948479744612494;-1.4911928395786578;0.6530973178106373;-0.3032887706151773
ARIA;29;-1.1171807620714749;-0.6719087426808295;1.1636166049282155;-1.056265597310421
ARIA;13;-0.24258692167478818;-2.566217070060576;-0.17656913478525682;-0.0005599056595775699
ARIA;29;-0.4188258451071386;-1.0907431731304265;1.4561084519722687;-0.5071493516652807
ARIA;39;-0.2989771077378492;-2.59140630930383;-0.26131990548627765;-0.005725792233471909
ARIA;40;-0.33940721915768524;-2.7485902943408798;-0.3837319521071187;-0.04778961545388651
ARIA;41;-0.0477806216044344;-2.477313082881837;-0.23135807857229215;0.02575500508710939
ARIA;42;-0.1842582622501468;-2.4542239035425846;-0.33327631646818023;-0.20926938744371593
ARIA;45;-0.20016980839003187;-2.5617005173568574;-0.17725008786948554;-0.09422163575309095
ARIA;46;-0.24109697260628074;-2.5385921051123064;-0.26376331980069256;-0.1299120433665371
ARIA;50;0.0011226025332154643;-2.5171075708878203;0.710912539620933;-0.005545063311579413
ARIA;51;-0.28040652787348247;-1.899774602243506;0.6861620022703082;-0.3963305277649155
ARIA;29;-1.0675211461275385;-1.6459639199697138;0.7396549239470888;-0.4606896000894806
ARIA;13;-0.32612123568411583;-2.638492855168355;-0.3762253072014184;-0.15691424377179766
ARIA;27;-0.24585033360016398;-2.4961713465628548;-0.3336701384421568;-0.13739490744760074
ARIA;12;-0.36498433482760545;-2.8586881397239567;-0.15184561063170557;0.2694353880418634
ARIA;12;-0.3408756779352213;-2.913815529749496;0.778324972016847;0.30181991271355335
ARIA;12;-0.03470208178191749;-2.220892315013711;-0.8490756247638545;-0.21830023262218662
BIOFILTRO;23;6.245659693961823;0.07964916306071915;0.6948990196457443;-1.293998949713693
BIOFILTRO;23;6.096888639425909;1.0715961453025638;0.31507147149756587;-2.480586295896763
BIOFILTRO;23;5.728635026480272;1.1589002184341939;0.18115841251418316;-1.4860251577427621
BIOFILTRO;23;5.406981640985373;0.5853110462678162;0.5438073006823178;-0.9393563031466265
BIOFILTRO;8;1.956742831584892;0.6536459859935775;-0.13268418156305048;0.09047378704667684
BIOFILTRO;8;8.173232003363923;0.7396465929275021;0.8582268241384982;1.21245498903825
BIOFILTRO;18;4.893201252595009;0.829447251658159;-1.8915145703617353;0.06979894160459142
BIOFILTRO;18;2.9416993247793295;0.13581929452169797;-0.9091318399926362;0.04540900295519653
BIOFILTRO;49;0.04068022499866809;1.1907516688146098;-0.09787787728282656;-0.08397869811682297
BIOFILTRO;18;0.6933994624795807;-0.09413310547321975;-0.8962484243592397;2.118437559472545
