Metodo,Pct_eventi,LOD_lo_medio,mu_medio,sigma_medio
LOD fisso,3.66700675028116,-3.98771367566307,4.47004592761839e-16,1.32923789188769
Roll 7d,3.35696841958746,-4.04590757268954,-0.058193897026468,0.443137660348836
Roll 14d,3.23952599658112,-4.07936563120146,-0.0916519555383888,0.475919784131619
Roll 30d,3.33217501917501,-4.06222843873519,-0.074514763072119,0.541639028795409
