Classe2;Sample.ID;PC1;PC2;PC3;PC4;PC5
ARIA;1;1.8241463015583377;1.8272352330169868;-0.0288407470022089;0.6102493887361988;0.36809037808876827
ARIA;13;1.836979249207509;1.8516990988004518;-0.06747557635649003;0.6468464183405879;0.34161058817650813
ARIA;24;1.8907396002005639;1.7566824731577797;-0.04267618789349334;0.6067764857033414;0.3677589999503126
ARIA;25;1.8867545912885315;1.719110568313123;-0.04086920355837953;0.5865115644582838;0.37794232307486525
ARIA;26;1.8092001197783045;1.8707990240296217;-0.04376284865239153;0.6380065168339287;0.3530777836103957
ARIA;29;1.6185762454608323;1.7657395371674154;0.12517529669367886;0.6357504655376772;-0.004625445544653227
ARIA;29;1.3936579191725589;1.6074867889673454;0.20583990423913037;0.4872492756643564;0.001547495814368606
ARIA;29;0.9596076059057369;1.7985402926769662;0.3230459204938309;0.5561675762563758;-0.10049896183078753
ARIA;29;0.8880977883326553;1.4850684288827467;0.33629219850620623;0.4085587475796629;-0.27994595565407293
ARIA;13;1.8318258935845035;1.8151743647791467;-0.060041997030453556;0.6247353975361417;0.35556491141151664
ARIA;29;1.5396696787663153;1.3997668661477365;0.1726907833929958;0.43002138454715627;-0.1025785660430303
ARIA;39;1.8070001602855243;1.8690845866000962;-0.05582371053937146;0.6322242437213028;0.36617685228634994
ARIA;40;1.867621233832203;1.9146271246326405;-0.08155524939948941;0.6983963939953921;0.3825555457937791
ARIA;41;1.85003421999115;1.6945525919434459;-0.023935874397269383;0.5581911474239912;0.38873160075567154
ARIA;42;1.8184700826563989;1.7449107609644852;-0.022970168188743374;0.5785028713843364;0.39192866131038684
ARIA;45;1.9056211537622918;1.8365022885239886;-0.05551413747913055;0.6545264990792272;0.3561125900277265
ARIA;46;1.6505100637608898;1.8272397540279017;-0.22917512973231127;0.530207300129217;0.3412538388067986
ARIA;50;2.1793426291638194;1.632439374965045;-0.033377075130916;0.7702083530703939;0.10378372903150329
ARIA;51;1.8458863534978713;1.6099433944803452;-0.1607335103775667;0.5648897221319163;0.23379864104725495
ARIA;29;1.120557086193832;1.8962577764449962;0.2957136901922006;0.6133826822180768;-0.07132561046801655
ARIA;13;1.8490340287179372;1.8732113126743895;-0.0659833280265215;0.6575071619367376;0.37380219072394294
