Feature;MeanImportance;StdImportance;Top50pct_freq;Selected;Rank
diffAUC2_4;0.03884680291286364;0.0030171869997022292;1.0;True;1
diffAUC1_4;0.032200375103727946;0.0028786490188066676;1.0;True;2
FA1;0.02230386346801773;0.0025863829552736687;1.0;True;3
BNBn2;0.02214605927926532;0.003126740475345933;1.0;True;4
D2;0.020405151570893544;0.0022306343846443875;1.0;True;5
BNBn4;0.01925113102532566;0.002736768667950127;1.0;True;6
N2;0.018503367005598192;0.0021410361544958343;1.0;True;7
BBn4;0.01775924241493695;0.0015337369061791685;1.0;True;8
diffAUC3_4;0.017421269203392205;0.0016269554665892625;1.0;True;9
RRn4;0.017216065658164668;0.002076752900169846;1.0;True;10
SSn4;0.01717516803793653;0.0016732663914345023;1.0;True;11
BNBn1;0.016936496045379206;0.0022166026619471904;1.0;True;12
BNB4;0.016799803811006913;0.0016205940446099914;1.0;True;13
BB4;0.016290686750754388;0.00152531346723373;1.0;True;14
SS4;0.016271370006311698;0.0015909032793326458;1.0;True;15
CCn4;0.01607121934272479;0.0016516939385279811;1.0;True;16
A2;0.01538571793545057;0.002513805824441771;1.0;True;17
FA4;0.015288913585225232;0.0019292920399573044;0.9772727272727273;True;18
CCn1;0.01489021271724298;0.002136041786691597;0.9545454545454546;True;19
BBn1;0.0144419900522936;0.0016424660648682835;0.9772727272727273;True;20
CC4;0.014222984027996417;0.0011403364164430142;1.0;True;21
RRn1;0.01413989858073918;0.0016614723319070576;0.9772727272727273;True;22
BNB1;0.013867794367259816;0.0023576428390365586;0.9545454545454546;True;23
RR4;0.013712986783652409;0.001595436414921898;1.0;True;24
CC1;0.013219193968411154;0.0018729422771636222;0.9318181818181818;True;25
SSn1;0.01310001162343921;0.0013776896659566476;0.9772727272727273;True;26
H2;0.012843887347478804;0.0017060686303606973;0.9545454545454546;True;27
LN1;0.012595799427307531;0.0017605357625648937;0.9772727272727273;True;28
O1;0.01247815750446863;0.0016724287918183634;0.9318181818181818;True;29
H1;0.01190105985482215;0.0015348937692075755;0.9318181818181818;True;30
